Algorithm, Start Point,End Point,Time Taken(ms),Number of Nodes Visited , E Value, Path Length
A*,C :1 R: 4,C :35 R: 35,1861.000000,1207,N/A,66
A*,C :2 R: 4,C :35 R: 35,1822.000000,1192,N/A,65
A*,C :3 R: 4,C :35 R: 35,1801.000000,1170,N/A,64
A*,C :3 R: 5,C :35 R: 35,1556.000000,1091,N/A,63
A*,C :3 R: 6,C :35 R: 35,1174.000000,1000,N/A,62
A*,C :3 R: 7,C :35 R: 35,1274.000000,993,N/A,61
A*,C :3 R: 8,C :35 R: 35,1177.000000,993,N/A,60
A*,C :3 R: 9,C :35 R: 35,1205.000000,991,N/A,59
A*,C :4 R: 9,C :35 R: 35,1213.000000,957,N/A,58
A*,C :5 R: 9,C :35 R: 35,1165.000000,926,N/A,57
A*,C :6 R: 9,C :35 R: 35,1174.000000,896,N/A,56
A*,C :7 R: 9,C :35 R: 35,1178.000000,866,N/A,55
A*,C :8 R: 9,C :35 R: 35,1169.000000,835,N/A,54
A*,C :9 R: 9,C :35 R: 35,1202.000000,805,N/A,53
A*,C :10 R: 9,C :35 R: 35,1136.000000,773,N/A,52
A*,C :11 R: 9,C :35 R: 35,1294.000000,744,N/A,51
A*,C :12 R: 9,C :35 R: 35,1248.000000,713,N/A,50
A*,C :13 R: 9,C :35 R: 35,1131.000000,682,N/A,49
A*,C :14 R: 9,C :35 R: 35,1209.000000,648,N/A,48
A*,C :15 R: 9,C :35 R: 35,1161.000000,597,N/A,47
A*,C :16 R: 9,C :35 R: 35,1253.000000,588,N/A,46
A*,C :17 R: 9,C :35 R: 35,1130.000000,561,N/A,45
A*,C :18 R: 9,C :35 R: 35,1099.000000,530,N/A,44
A*,C :19 R: 9,C :35 R: 35,1156.000000,500,N/A,43
A*,C :20 R: 9,C :35 R: 35,1226.000000,471,N/A,42
A*,C :21 R: 9,C :35 R: 35,1015.000000,398,N/A,41
A*,C :21 R: 10,C :35 R: 35,1067.000000,382,N/A,40
A*,C :21 R: 11,C :35 R: 35,1058.000000,362,N/A,39
A*,C :22 R: 11,C :35 R: 35,1114.000000,333,N/A,38
A*,C :22 R: 12,C :35 R: 35,968.000000,317,N/A,37
A*,C :22 R: 13,C :35 R: 35,1031.000000,302,N/A,36
A*,C :22 R: 14,C :35 R: 35,922.000000,286,N/A,35
A*,C :22 R: 15,C :35 R: 35,946.000000,270,N/A,34
A*,C :23 R: 15,C :35 R: 35,947.000000,258,N/A,33
A*,C :24 R: 15,C :35 R: 35,978.000000,248,N/A,32
A*,C :24 R: 16,C :35 R: 35,948.000000,229,N/A,31
A*,C :24 R: 17,C :35 R: 35,1053.000000,217,N/A,30
A*,C :24 R: 18,C :35 R: 35,1017.000000,209,N/A,29
A*,C :25 R: 18,C :35 R: 35,965.000000,200,N/A,28
A*,C :25 R: 19,C :35 R: 35,978.000000,189,N/A,27
A*,C :26 R: 19,C :35 R: 35,879.000000,181,N/A,26
A*,C :26 R: 20,C :35 R: 35,934.000000,170,N/A,25
A*,C :26 R: 21,C :35 R: 35,914.000000,159,N/A,24
A*,C :27 R: 21,C :35 R: 35,872.000000,140,N/A,23
A*,C :28 R: 21,C :35 R: 35,979.000000,124,N/A,22
A*,C :28 R: 22,C :35 R: 35,884.000000,113,N/A,21
A*,C :29 R: 22,C :35 R: 35,841.000000,99,N/A,20
A*,C :29 R: 23,C :35 R: 35,818.000000,90,N/A,19
A*,C :29 R: 24,C :35 R: 35,871.000000,83,N/A,18
A*,C :29 R: 25,C :35 R: 35,790.000000,76,N/A,17
A*,C :30 R: 25,C :35 R: 35,821.000000,65,N/A,16
A*,C :30 R: 26,C :35 R: 35,777.000000,59,N/A,15
A*,C :30 R: 27,C :35 R: 35,813.000000,53,N/A,14
A*,C :31 R: 27,C :35 R: 35,798.000000,44,N/A,13
A*,C :31 R: 28,C :35 R: 35,795.000000,39,N/A,12
A*,C :32 R: 28,C :35 R: 35,797.000000,31,N/A,11
A*,C :32 R: 29,C :35 R: 35,858.000000,27,N/A,10
A*,C :33 R: 29,C :35 R: 35,807.000000,20,N/A,9
A*,C :34 R: 29,C :35 R: 35,757.000000,13,N/A,8
A*,C :34 R: 30,C :35 R: 35,763.000000,11,N/A,7
A*,C :34 R: 31,C :35 R: 35,758.000000,9,N/A,6
A*,C :35 R: 31,C :35 R: 35,758.000000,4,N/A,5
A*,C :35 R: 32,C :35 R: 35,756.000000,3,N/A,4
A*,C :35 R: 33,C :35 R: 35,754.000000,2,N/A,3
A*,C :35 R: 34,C :35 R: 35,753.000000,1,N/A,2
FRA*,C :1 R: 4,C :35 R: 35,906.000000,1212,N/A,66
G-FRA*,C :1 R: 4,C :35 R: 35,918.000000,1212,N/A,66
ARA*,C :1 R: 4,C :35 R: 35,57.000000,65,3,65
ARA*,C :1 R: 4,C :35 R: 35,0.000000,0,2,0
ARA*,C :1 R: 4,C :35 R: 35,903.000000,1166,1,65
ARA*,C :2 R: 4,C :35 R: 35,59.000000,64,3,64
ARA*,C :2 R: 4,C :35 R: 35,0.000000,0,2,0
ARA*,C :2 R: 4,C :35 R: 35,914.000000,1152,1,64

